Unique Key,Created Date,Agency Name,Complaint Type,Descriptor,Location Type,Landmark,Borough,Incident Zip,Latitude,Longitude,Location
40244856,9/11/2018 15:33,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,SCARANGELLA PARK,BROOKLYN,11223,40.59466698,-73.98434028,"(40.59466698179727, -73.98434028185564)"
39979427,8/10/2018 18:10,New York City Police Department,Traffic,Chronic Stoplight Violation,Street/Sidewalk,CONEY ISLAND HOSPITAL,BROOKLYN,11235,40.58615127,-73.9655919,"(40.586151272301464, -73.96559189570597)"
39981107,8/10/2018 0:00,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),CONEY ISLAND BEACH,BROOKLYN,11224,40.57262003,-73.97982079,"(40.57262002963973, -73.97982078536967)"
40518310,10/11/2018 12:26,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Street/Curbside,PLUMB BEACH,BROOKLYN,11229,40.5831595,-73.92116047,"(40.58315949966937, -73.9211604683732)"
39031065,4/25/2018 10:30,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Street/Curbside,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
39041707,4/26/2018 13:55,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,BENSONHURST PARK,BROOKLYN,11214,40.59727286,-74.00082461,"(40.597272859567674, -74.00082460689573)"
39718999,7/12/2018 23:14,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
39982510,8/11/2018 22:52,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
39417539,6/9/2018 10:53,New York City Police Department,Noise - Park,Loud Talking,Park/Playground,PRATT PLAYGROUND,BROOKLYN,11205,40.69260407,-73.96245739,"(40.69260407123125, -73.96245739182854)"
40541616,10/13/2018 13:46,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,ASSER LEVY PARK,BROOKLYN,11224,40.57506948,-73.97190429,"(40.575069476456186, -73.97190429053232)"
39733589,7/13/2018 20:27,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,P S 288,BROOKLYN,11224,40.57424098,-73.99227873,"(40.57424097699584, -73.99227872538901)"
39424274,6/10/2018 15:16,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,PROSPECT PARK,BROOKLYN,11215,40.6613542,-73.9696801,"(40.66135420007725, -73.96968010080575)"
40569720,10/16/2018 10:51,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Recreation Center,RED HOOK PARK,BROOKLYN,11231,40.6718733,-74.00569219,"(40.671873298204076, -74.00569218623585)"
39437861,6/12/2018 13:09,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,MARIA HERNANDEZ PARK,BROOKLYN,11237,40.70317707,-73.92386055,"(40.703177068089516, -73.92386055355293)"
39440504,6/12/2018 18:53,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SUNSET PARK,BROOKLYN,11232,40.6480432,-74.00384148,"(40.64804319715383, -74.00384148403383)"
