Unique Key,Created Date,Agency Name,Complaint Type,Descriptor,Location Type,Landmark,Borough,Incident Zip,Latitude,Longitude,Location
38727363,3/19/2018 15:40,New York City Police Department,Vending,Unlicensed,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39405700,6/8/2018 9:09,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39405702,6/8/2018 15:33,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39409519,6/8/2018 10:33,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,FORT TRYON PARK,MANHATTAN,10040,40.86138133,-73.93354533,"(40.86138132660212, -73.93354532527394)"
39413540,6/8/2018 10:19,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,PENNSYLVANIA STATION,MANHATTAN,10121,40.75006595,-73.99210676,"(40.75006595421169, -73.9921067617765)"
39724976,7/13/2018 11:39,Department of Parks and Recreation,Maintenance or Facility,Hours of Operation,Street/Curbside,SOUTH STREET SEAPORT,MANHATTAN,10038,40.70571643,-74.0024526,"(40.705716429234386, -74.00245259766638)"
39985244,8/11/2018 15:07,Department of Parks and Recreation,Animal in a Park,Removing Wildlife,Park,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39986962,8/11/2018 17:10,Department of Parks and Recreation,Animal in a Park,Removing Wildlife,Park,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39986997,8/11/2018 13:10,Department of Parks and Recreation,Animal in a Park,Injured Wildlife,Park,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
40254806,9/12/2018 12:46,Department of Parks and Recreation,Animal in a Park,Removing Wildlife,Park,RIVERSIDE PARK,MANHATTAN,10025,40.80024518,-73.97335875,"(40.800245180318555, -73.97335875005403)"
