Unique Key,Created Date,Agency Name,Complaint Type,Descriptor,Location Type,Landmark,Borough,Incident Zip,Latitude,Longitude,Location
39406540,6/8/2018 20:30,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,ST JOHNS UNIVERSITY,QUEENS,11432,40.72208714,-73.79473551,"(40.72208713776957, -73.79473550751592)"
39973542,8/11/2018 0:28,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,CITIFIELD,QUEENS,11368,40.75655776,-73.84513732,"(40.75655775599275, -73.84513732359324)"
39984929,8/11/2018 20:30,Department of Parks and Recreation,DPR Internal,Aided/Injury,Beach,ROCKAWAY BEACH,QUEENS,11694,40.57081674,-73.85437948,"(40.57081674495128, -73.85437947966363)"
39987082,8/11/2018 18:19,Department of Parks and Recreation,Animal in a Park,Removing Wildlife,Park,FLUSHING MEADOW PARK,QUEENS,11368,40.74237706,-73.84215698,"(40.742377064999275, -73.84215697754966)"
38848976,4/3/2018 14:44,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,J F K AIRPORT,QUEENS,11430,40.64832049,-73.78828125,"(40.64832048620134, -73.78828125130184)"
39237307,5/20/2018 14:28,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,HINTON PARK,QUEENS,11368,40.75599411,-73.85493118,"(40.75599410867705, -73.85493117742631)"
39731428,7/14/2018 15:04,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,FLUSHING MEADOWS CORONA PARK,QUEENS,11368,40.74237706,-73.84215698,"(40.742377064999275, -73.84215697754966)"
39208037,5/16/2018 12:31,Department of Parks and Recreation,DPR Internal,Aided/Injury,Recreation Center,FLUSHING MEADOW PARK,QUEENS,11368,40.74237706,-73.84215698,"(40.742377064999275, -73.84215697754966)"
39034725,4/26/2018 13:26,Department of Parks and Recreation,Violation of Park Rules,Unsafe Use of Playground,Park,CROCHERON PARK,QUEENS,11361,40.77212079,-73.7670414,"(40.77212078590735, -73.76704139503545)"
39423044,6/10/2018 13:56,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,FLUSHING MEADOWS CORONA PARK,QUEENS,11368,40.74237706,-73.84215698,"(40.742377064999275, -73.84215697754966)"
39423706,6/10/2018 11:56,Department of Parks and Recreation,Violation of Park Rules,BBQ Outside Authorized Area,Park,ALLEY POND PARK,QUEENS,11364,40.7528419,-73.74636962,"(40.75284189973842, -73.7463696244017)"
39451510,6/13/2018 20:44,Department of Parks and Recreation,Violation of Park Rules,Removing Flowers/Plants,Street/Curbside,FLUSHING MEADOW PARK,QUEENS,11368,40.74237706,-73.84215698,"(40.742377064999275, -73.84215697754966)"
40194676,9/5/2018 14:06,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,LA GUARDIA AIRPORT,QUEENS,11369,40.77442087,-73.87729411,"(40.77442086598845, -73.87729410513894)"
39438283,6/12/2018 17:33,New York City Police Department,Drinking,In Public,Park/Playground,ROSEMARY'S PLAYGROUND,QUEENS,11385,40.70493789,-73.90377271,"(40.70493789125123, -73.90377271369447)"
