Unique Key,Created Date,Agency Name,Complaint Type,Descriptor,Location Type,Landmark,Borough,Incident Zip,Latitude,Longitude,Location
39982795,8/11/2018 9:35,Department of Parks and Recreation,DPR Internal,Aided/Injury,Beach,MIDLAND BEACH,STATEN ISLAND,10306,40.5680522,-74.08991124,"(40.5680521959103, -74.08991123736692)"
40542228,10/14/2018 18:41,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,FERRY TERMINAL,STATEN ISLAND,10301,40.6441118,-74.0725587,"(40.644111798496276, -74.07255869954668)"
40545192,10/14/2018 16:40,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,FERRY TERMINAL,STATEN ISLAND,10301,40.6441118,-74.0725587,"(40.644111798496276, -74.07255869954668)"
39060647,4/29/2018 10:19,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,GREAT KILLS,STATEN ISLAND,10306,40.540936,-74.13497407,"(40.54093600401107, -74.13497406598722)"
39302063,5/27/2018 14:09,Department of Parks and Recreation,Animal in a Park,Removing Wildlife,Street/Curbside,BLUE HERON PARK PRESERVE,STATEN ISLAND,10312,40.53183007,-74.17466719,"(40.53183007271259, -74.1746671915421)"
39804774,7/22/2018 8:34,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,COLLEGE OF SI,STATEN ISLAND,10314,40.60102877,-74.14992132,"(40.60102877144897, -74.14992131979677)"
39133269,5/7/2018 11:34,Department of Parks and Recreation,Animal in a Park,Injured Wildlife,Park,OCEAN BREEZE PARK,STATEN ISLAND,10305,40.58696624,-74.07927967,"(40.58696623776864, -74.07927966795522)"
39137434,5/8/2018 14:28,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,OCEAN BREEZE PARK,STATEN ISLAND,10305,40.58696624,-74.07927967,"(40.58696623776864, -74.07927966795522)"
40095778,8/24/2018 9:25,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,STAPLETON PLAYGROUND,STATEN ISLAND,10304,40.62335648,-74.07968312,"(40.62335647819759, -74.07968312343554)"
39800844,7/22/2018 4:22,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,COLLEGE OF SI,STATEN ISLAND,10314,40.60102877,-74.14992132,"(40.60102877144897, -74.14992131979677)"
39802388,7/22/2018 8:38,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,COLLEGE OF SI,STATEN ISLAND,10314,40.60102877,-74.14992132,"(40.60102877144897, -74.14992131979677)"
39356201,6/2/2018 14:08,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,CLOVE LAKE PARK,STATEN ISLAND,10310,40.61931497,-74.11371089,"(40.61931496873211, -74.11371089040878)"
39552428,6/24/2018 21:40,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Street/Curbside,OCEAN BREEZE PARK,STATEN ISLAND,10305,40.58696624,-74.07927967,"(40.58696623776864, -74.07927966795522)"
39588144,6/28/2018 13:55,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,VETERANS PARK,STATEN ISLAND,10302,40.63719996,-74.13177469,"(40.63719996327859, -74.13177468976593)"
40115761,8/26/2018 16:44,Department of Parks and Recreation,DPR Internal,Property,Park,SOUTH BEACH,STATEN ISLAND,10305,40.5817548,-74.07374018,"(40.58175480173254, -74.07374017691083)"
39190069,5/14/2018 16:47,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,CLOVE LAKE PARK,STATEN ISLAND,10310,40.61931497,-74.11371089,"(40.61931496873211, -74.11371089040878)"
39627329,7/2/2018 14:20,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,HIGH ROCK PARK,STATEN ISLAND,10306,40.58288607,-74.12423685,"(40.58288607128281, -74.12423685113251)"
39870142,7/30/2018 23:23,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,LIEUTENANT LIA PLAYGROUND,STATEN ISLAND,10301,40.64361564,-74.07986947,"(40.64361563674408, -74.07986947037045)"
39405701,6/8/2018 11:19,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,BLOOMINGDALE PARK,STATEN ISLAND,10309,40.53280852,-74.21439987,"(40.53280852433696, -74.21439986761453)"
41214238,12/18/2018 9:19,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,CLOVE LAKE PARK,STATEN ISLAND,10310,40.61931497,-74.11371089,"(40.61931496873211, -74.11371089040878)"
40422119,10/1/2018 0:26,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,WAGNER COLLEGE,STATEN ISLAND,10301,40.615583,-74.09447762,"(40.61558299575008, -74.09447762432261)"
40188217,9/4/2018 17:21,Department of Parks and Recreation,Animal in a Park,Removing Wildlife,Park,OCEAN BREEZE PARK,STATEN ISLAND,10305,40.58696624,-74.07927967,"(40.58696623776864, -74.07927966795522)"
40189682,9/4/2018 19:32,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Beach,SOUTH BEACH,STATEN ISLAND,10305,40.5817548,-74.07374018,"(40.58175480173254, -74.07374017691083)"
40192592,9/4/2018 17:25,Department of Parks and Recreation,Animal in a Park,Removing Wildlife,Park,OCEAN BREEZE PARK,STATEN ISLAND,10305,40.58696624,-74.07927967,"(40.58696623776864, -74.07927966795522)"
39708157,7/11/2018 17:04,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power/Phone Lines,Street,MILLER FIELD,STATEN ISLAND,10306,40.56817554,-74.10007953,"(40.56817553754232, -74.10007953066058)"
40468762,10/5/2018 11:08,Department of Parks and Recreation,DPR Internal,Property,Park,VON BRIESEN PARK,STATEN ISLAND,10305,40.60744078,-74.0592619,"(40.60744078053252, -74.05926189560431)"
40693206,10/29/2018 15:46,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,CLOVE LAKE,STATEN ISLAND,10301,40.61855389,-74.10883601,"(40.61855388980474, -74.10883601425977)"
40464848,10/5/2018 23:22,New York City Police Department,Noise - Park,Loud Talking,Park/Playground,NAPLES PLAYGROUND,STATEN ISLAND,10304,40.60246355,-74.09021686,"(40.60246354727158, -74.09021686311591)"
