Unique Key,Created Date,Agency Name,Complaint Type,Descriptor,Location Type,Landmark,Borough,Incident Zip,Latitude,Longitude,Location
39404080,6/8/2018 13:59,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,WOODLAWN CEMETERY,BRONX,10467,40.888892299999995,-73.87255470000001,"(40.88889230263962, -73.87255469830917)"
39406030,6/8/2018 14:08,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,WOODLAWN CEMETERY,BRONX,10467,40.888892299999995,-73.87255470000001,"(40.88889230263962, -73.87255469830917)"
39716202,7/12/2018 22:20,Department of Parks and Recreation,Maintenance or Facility,Hours of Operation,Street/Curbside,DEVOE PARK,BRONX,10468,40.8631302,-73.90654452,"(40.863130202365284, -73.90654451754935)"
41102839,12/4/2018 8:57,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Park,BRONX PARK,BRONX,10467,40.85666488,-73.87579761,"(40.85666487533718, -73.87579760930149)"
39726709,7/13/2018 7:24,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,HAFFEN PARK,BRONX,10469,40.87368343,-73.83916591,"(40.87368343276026, -73.83916591245767)"
39739517,7/15/2018 15:24,Department of Parks and Recreation,Violation of Park Rules,BBQ Outside Authorized Area,Park,BARRETTO PARK,BRONX,10474,40.81285044,-73.88867509999999,"(40.81285043551196, -73.88867510043575)"
39415071,6/9/2018 23:49,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,BRIDGE PARK,BRONX,10453,40.84594143,-73.92742356,"(40.84594142686875, -73.92742355752964)"
39424257,6/10/2018 22:04,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,SOUNDVIEW PARK,BRONX,10473,40.81773577,-73.87501764,"(40.817735769859965, -73.87501763502273)"
39426862,6/11/2018 1:14,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,DEVOE PARK,BRONX,10468,40.8631302,-73.90654452,"(40.863130202365284, -73.90654451754935)"
39437040,6/11/2018 19:39,Department of Parks and Recreation,Violation of Park Rules,Unsafe Use of Playground,Park,PELHAM BAY PARK,BRONX,10465,40.85690624,-73.8248876,"(40.8569062428053, -73.82488760016611)"
39994038,8/12/2018 20:00,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,RAINEY PARK,BRONX,10459,40.81909159,-73.89717306,"(40.8190915908639, -73.89717305973416)"
40269290,9/13/2018 12:03,Department of Parks and Recreation,Animal in a Park,Removing Wildlife,Park,PELHAM BAY PARK,BRONX,10465,40.85690624,-73.8248876,"(40.8569062428053, -73.82488760016611)"
39470862,6/15/2018 9:42,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,CROTONA PARK,BRONX,10457,40.83794057,-73.89525384,"(40.83794057379697, -73.89525384010201)"
40048424,8/18/2018 12:13,New York City Police Department,Vending,Unlicensed,Park/Playground,MACOMBS DAM PARK,BRONX,10452,40.82973197,-73.92871679999999,"(40.82973197149275, -73.92871679858054)"
39064738,4/30/2018 10:24,Department of Parks and Recreation,Animal in a Park,Domestic Strays,Park,CROTONA PARK,BRONX,10457,40.83794057,-73.89525384,"(40.83794057379697, -73.89525384010201)"
39733346,7/14/2018 8:47,Department of Health and Mental Hygiene,Beach/Pool/Sauna Complaint,Beach/Pool Water,Beach,ORCHARD BEACH,BRONX,10464,40.86582898,-73.79319996,"(40.865828984810776, -73.79319996009694)"
39482406,6/16/2018 19:50,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,DEVOE PARK,BRONX,10468,40.8631302,-73.90654452,"(40.863130202365284, -73.90654451754935)"
39483029,6/16/2018 16:50,Department of Parks and Recreation,Animal in a Park,Removing Wildlife,Park,CLAREMONT PARK,BRONX,10457,40.84031409,-73.90731745,"(40.84031409465535, -73.90731745202085)"
40015636,8/15/2018 17:06,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,BRONX ZOO,BRONX,10460,40.85023185,-73.87632289,"(40.85023185062718, -73.87632289476633)"
39484836,6/16/2018 23:20,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,YANKEE STADIUM,BRONX,10452,40.829645500000005,-73.92650544,"(40.829645497269496, -73.9265054412993)"
39486072,6/17/2018 16:44,Department of Parks and Recreation,DPR Internal,Aided/Injury,Beach,ORCHARD BEACH,BRONX,10464,40.86582898,-73.79319996,"(40.865828984810776, -73.79319996009694)"
