Unique Key,Created Date,Agency Name,Complaint Type,Descriptor,Location Type,Landmark,Borough,Incident Zip,Latitude,Longitude,Location
38727363,3/19/2018 15:40,New York City Police Department,Vending,Unlicensed,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39035768,4/26/2018 17:09,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39045173,4/27/2018 14:55,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,WASHINGTON SQUARE PARK,MANHATTAN,10011,40.73088313,-73.99759338,"(40.730883132114464, -73.9975933816647)"
39051474,4/28/2018 16:35,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39053807,4/28/2018 10:13,Department of Parks and Recreation,DPR Internal,Aided/Injury,Recreation Center,EAST 54 STREET RECREATION CTR,MANHATTAN,10022,40.75652481,-73.96507436,"(40.75652480791106, -73.96507435728908)"
39055035,4/28/2018 13:45,Department of Parks and Recreation,DPR Internal,Aided/Injury,Recreation Center,EAST 54 STREET RECREATION CTR,MANHATTAN,10022,40.75652481,-73.96507436,"(40.75652480791106, -73.96507435728908)"
39055422,4/28/2018 14:01,New York City Police Department,Vending,In Prohibited Area,Park/Playground,CENTRAL PARK,MANHATTAN,10000,40.78229521,-73.96519444,"(40.782295208794295, -73.96519444362545)"
39057546,4/28/2018 11:47,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,UNION SQUARE PARK,MANHATTAN,10003,40.73595507,-73.99047744,"(40.73595506911933, -73.99047743742598)"
39054647,4/28/2018 17:33,Department of Transportation,Sidewalk Condition,Blocked - Construction,Sidewalk,GRANTS TOMB,MANHATTAN,10027,40.81341702,-73.96306119,"(40.813417016545515, -73.96306118523107)"
39073126,5/1/2018 20:24,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,PIER 26,MANHATTAN,10013,40.72139382,-74.01284309,"(40.721393816566334, -74.01284309058833)"
