Unique Key,Created Date,Agency Name,Complaint Type,Descriptor,Location Type,Landmark,Borough,Incident Zip,Latitude,Longitude,Location
38848976,4/3/2018 14:44,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,J F K AIRPORT,QUEENS,11430,40.64832049,-73.78828125,"(40.64832048620134, -73.78828125130184)"
39237307,5/20/2018 14:28,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,HINTON PARK,QUEENS,11368,40.75599411,-73.85493118,"(40.75599410867705, -73.85493117742631)"
39208037,5/16/2018 12:31,Department of Parks and Recreation,DPR Internal,Aided/Injury,Recreation Center,FLUSHING MEADOW PARK,QUEENS,11368,40.74237706,-73.84215698,"(40.742377064999275, -73.84215697754966)"
39034725,4/26/2018 13:26,Department of Parks and Recreation,Violation of Park Rules,Unsafe Use of Playground,Park,CROCHERON PARK,QUEENS,11361,40.77212079,-73.7670414,"(40.77212078590735, -73.76704139503545)"
39067087,4/30/2018 19:28,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,VICTORY FIELD,QUEENS,11385,40.70157178,-73.85336535,"(40.70157177772394, -73.85336534853603)"
39070171,4/30/2018 15:26,Department of Parks and Recreation,Maintenance or Facility,Grass/Weeds,Street/Curbside,J F K AIRPORT,QUEENS,11430,40.64832049,-73.78828125,"(40.64832048620134, -73.78828125130184)"
39175530,5/12/2018 0:00,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),JFK,QUEENS,11430,40.64832049,-73.78828125,"(40.64832048620134, -73.78828125130184)"
39081103,5/1/2018 14:56,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,FLUSHING MEADOWS CORONA PARK,QUEENS,11368,40.74237706,-73.84215698,"(40.742377064999275, -73.84215697754966)"
39099961,5/3/2018 8:29,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,J F K AIRPORT,QUEENS,11430,40.64832049,-73.78828125,"(40.64832048620134, -73.78828125130184)"
39269598,5/23/2018 10:44,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,FLUSHING MEADOW PARK,QUEENS,11368,40.74237706,-73.84215698,"(40.742377064999275, -73.84215697754966)"
39253974,5/22/2018 6:45,Department of Health and Mental Hygiene,Food Establishment,Bare Hands in Contact w/ Food,Other (Explain Below),LA GUARDIA AIRPORT,QUEENS,11369,40.77442087,-73.87729411,"(40.77442086598845, -73.87729410513894)"
39307317,5/28/2018 14:31,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,ALLEY POND PARK,QUEENS,11364,40.7528419,-73.74636962,"(40.75284189973842, -73.7463696244017)"
39263340,5/23/2018 18:13,Department of Transportation,Street Condition,Line/Marking - Faded,Street,NEW CALVARY CEMETERY,QUEENS,11377,40.74061263,-73.91200305,"(40.74061262629657, -73.91200304680068)"
39094258,5/3/2018 8:20,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Street/Curbside,MEADOW LAKE,QUEENS,11367,40.73619707,-73.84103136,"(40.73619707023759, -73.84103135759476)"
39213816,5/17/2018 21:42,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,MEADOW LAKE,QUEENS,11367,40.73619707,-73.84103136,"(40.73619707023759, -73.84103135759476)"
39158589,5/10/2018 18:55,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,FLUSHING MEADOW PARK,QUEENS,11368,40.74237706,-73.84215698,"(40.742377064999275, -73.84215697754966)"
39303962,5/28/2018 14:00,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,FOREST PARK,QUEENS,11385,40.70251221,-73.85256622,"(40.702512212819265, -73.85256622293014)"
39162191,5/10/2018 21:34,Department of Parks and Recreation,DPR Internal,Aided/Injury,Recreation Center,FLUSHING MEADOW PARK,QUEENS,11368,40.74237706,-73.84215698,"(40.742377064999275, -73.84215697754966)"
39169291,5/11/2018 11:44,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,FLUSHING MEADOWS CORONA PARK,QUEENS,11368,40.74237706,-73.84215698,"(40.742377064999275, -73.84215697754966)"
39206536,5/16/2018 15:00,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,J F K AIRPORT,QUEENS,11430,40.64832049,-73.78828125,"(40.64832048620134, -73.78828125130184)"
39311462,5/30/2018 0:55,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,CITI FIELD,QUEENS,11368,40.75655776,-73.84513732,"(40.75655775599275, -73.84513732359324)"
39334611,5/31/2018 15:17,Department of Parks and Recreation,Maintenance or Facility,Graffiti or Vandalism,Street/Curbside,FLUSHING MEADOW PARK,QUEENS,11368,40.74237706,-73.84215698,"(40.742377064999275, -73.84215697754966)"
38108295,1/4/2018 10:17,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,LA GUARDIA AIRPORT,QUEENS,11369,40.77442087,-73.87729411,"(40.77442086598845, -73.87729410513894)"
39245630,5/21/2018 14:37,Department of Parks and Recreation,Animal in a Park,Injured Wildlife,Park,ALLEY POND PARK,QUEENS,11364,40.7528419,-73.74636962,"(40.75284189973842, -73.7463696244017)"
39248240,5/21/2018 12:34,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint,Street,LA GUARDIA AIRPORT,QUEENS,11369,40.77442087,-73.87729411,"(40.77442086598845, -73.87729410513894)"
38096256,1/3/2018 13:47,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,LA GUARDIA AIRPORT,QUEENS,11369,40.77442087,-73.87729411,"(40.77442086598845, -73.87729410513894)"
38162392,1/9/2018 12:37,Taxi and Limousine Commission,Taxi Complaint,Insurance Information Requested,Street,LA GUARDIA AIRPORT,QUEENS,11369,40.77442087,-73.87729411,"(40.77442086598845, -73.87729410513894)"
38257035,1/19/2018 7:24,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,J F K AIRPORT,QUEENS,11430,40.64832049,-73.78828125,"(40.64832048620134, -73.78828125130184)"
38258646,1/19/2018 6:35,Department of Health and Mental Hygiene,Food Establishment,Bare Hands in Contact w/ Food,Restaurant/Bar/Deli/Bakery,LGA,QUEENS,11369,40.77442087,-73.87729411,"(40.77442086598845, -73.87729410513894)"
38259389,1/20/2018 15:59,New York City Police Department,Traffic,Chronic Speeding,Street/Sidewalk,FT TOTTEN,QUEENS,11359,40.79132558,-73.77665278,"(40.79132557568007, -73.77665277688718)"
38271358,1/21/2018 15:28,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,FLUSHING MEADOWS CORONA PARK,QUEENS,11368,40.74237706,-73.84215698,"(40.742377064999275, -73.84215697754966)"
38332354,1/29/2018 8:05,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint,Street,LA GUARDIA AIRPORT,QUEENS,11369,40.77442087,-73.87729411,"(40.77442086598845, -73.87729410513894)"
38337395,1/29/2018 13:16,Taxi and Limousine Commission,Taxi Complaint,Insurance Information Requested,Street,LA GUARDIA AIRPORT,QUEENS,11369,40.77442087,-73.87729411,"(40.77442086598845, -73.87729410513894)"
38380975,2/3/2018 17:11,Department of Transportation,Bus Stop Shelter Complaint,Sign Missing or Defective,Bus Stop Shelter,J F K AIRPORT,QUEENS,11430,40.64832049,-73.78828125,"(40.64832048620134, -73.78828125130184)"
38512625,2/20/2018 22:55,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,LA GUARDIA AIRPORT,QUEENS,11369,40.77442087,-73.87729411,"(40.77442086598845, -73.87729410513894)"
38524295,2/22/2018 11:23,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,J F K AIRPORT,QUEENS,11430,40.64832049,-73.78828125,"(40.64832048620134, -73.78828125130184)"
38530918,2/23/2018 8:45,Taxi and Limousine Commission,Found Property,Electronics/Phones,Taxi,LA GUARDIA AIRPORT,QUEENS,11369,40.77442087,-73.87729411,"(40.77442086598845, -73.87729410513894)"
38587726,3/2/2018 19:28,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,FOREST PARK,QUEENS,11385,40.70251221,-73.85256622,"(40.702512212819265, -73.85256622293014)"
38610760,3/4/2018 13:42,Taxi and Limousine Commission,Taxi Complaint,Insurance Information Requested,Street,LA GUARDIA AIRPORT,QUEENS,11369,40.77442087,-73.87729411,"(40.77442086598845, -73.87729410513894)"
38613682,3/5/2018 9:22,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,LA GUARDIA AIRPORT,QUEENS,11369,40.77442087,-73.87729411,"(40.77442086598845, -73.87729410513894)"
38642980,3/8/2018 17:17,Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Street/Curbside,CITI FIELD,QUEENS,11368,40.75655776,-73.84513732,"(40.75655775599275, -73.84513732359324)"
38684603,3/13/2018 9:05,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,FORT TOTTEN,QUEENS,11359,40.79132558,-73.77665278,"(40.79132557568007, -73.77665277688718)"
38684890,3/13/2018 13:58,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,FLUSHING MEADOWS CORONA PARK,QUEENS,11368,40.74237706,-73.84215698,"(40.742377064999275, -73.84215697754966)"
38745920,3/21/2018 4:15,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,MAURICE PARK,QUEENS,11378,40.72747323,-73.90477926,"(40.72747322528817, -73.90477926000487)"
38753682,3/22/2018 17:25,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,KENNEDY AIRPORT,QUEENS,11430,40.64832049,-73.78828125,"(40.64832048620134, -73.78828125130184)"
38761866,3/23/2018 14:49,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,FLUSHING MEADOWS CORONA PARK,QUEENS,11368,40.74237706,-73.84215698,"(40.742377064999275, -73.84215697754966)"
38768241,3/23/2018 15:23,Department of Parks and Recreation,DPR Internal,Aided/Injury,Recreation Center,ROY WILKINS RECREATION CENTER,QUEENS,11434,40.68693895,-73.76936903,"(40.68693894727118, -73.76936903343639)"
38772177,3/24/2018 21:01,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,Street,ST JOHNS UNIVERSITY,QUEENS,11432,40.72208714,-73.79473551,"(40.72208713776957, -73.79473550751592)"
38816939,3/29/2018 18:05,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,J F K AIRPORT,QUEENS,11430,40.64832049,-73.78828125,"(40.64832048620134, -73.78828125130184)"
38912416,4/11/2018 12:24,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,YORK COLLEGE,QUEENS,11433,40.70190368,-73.79562356,"(40.70190368265534, -73.795623556072)"
38933252,4/13/2018 16:46,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,J F K AIRPORT,QUEENS,11430,40.64832049,-73.78828125,"(40.64832048620134, -73.78828125130184)"
39002183,4/22/2018 21:48,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,MEADOW LAKE,QUEENS,11367,40.73619707,-73.84103136,"(40.73619707023759, -73.84103135759476)"
39015841,4/23/2018 14:41,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,LAGUARDIA AIRPORT,QUEENS,11369,40.77442087,-73.87729411,"(40.77442086598845, -73.87729410513894)"
