Unique Key,Month,Created Date,Agency Name,Complaint Type,Descriptor,Location Type,Landmark,Borough,Incident Zip,Latitude,Longitude,Location
39064738,April,4/30/2018 10:24,Department of Parks and Recreation,Animal in a Park,Domestic Strays,Park,CROTONA PARK,BRONX,10457,40.83794057,-73.89525384,"(40.83794057379697, -73.89525384010201)"
39066814,April,4/30/2018 8:44,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Park,PELHAM BAY PARK,BRONX,10465,40.85690624,-73.8248876,"(40.8569062428053, -73.82488760016611)"
39105121,May,5/5/2018 0:39,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,HARRIS FIELD,BRONX,10468,40.87637709,-73.89194972,"(40.87637708743495, -73.89194971703174)"
39308156,May,5/28/2018 9:20,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,PELHAM BAY PARK,BRONX,10465,40.85690624,-73.8248876,"(40.8569062428053, -73.82488760016611)"
39294396,May,5/26/2018 22:43,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,DEVOE PARK,BRONX,10468,40.8631302,-73.90654452,"(40.863130202365284, -73.90654451754935)"
39294659,May,5/26/2018 20:51,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,DEVOE PARK,BRONX,10468,40.8631302,-73.90654452,"(40.863130202365284, -73.90654451754935)"
39226359,May,5/18/2018 21:10,New York City Police Department,Vending,Unlicensed,Street/Sidewalk,YANKEE STADIUM,BRONX,10452,40.8296455,-73.92650544,"(40.829645497269496, -73.9265054412993)"
39168609,May,5/11/2018 21:03,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,EWEN PARK,BRONX,10463,40.88219761,-73.91001833,"(40.88219761192211, -73.91001832917962)"
39320745,May,5/30/2018 15:50,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,PELHAM BAY PARK,BRONX,10465,40.85690624,-73.8248876,"(40.8569062428053, -73.82488760016611)"
39180499,May,5/13/2018 14:17,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,PELHAM BAY PARK,BRONX,10465,40.85690624,-73.8248876,"(40.8569062428053, -73.82488760016611)"
39199383,May,5/15/2018 10:16,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,VIRGINIA PARK,BRONX,10472,40.83347857,-73.86218114,"(40.83347857248845, -73.8621811402155)"
39239809,May,5/20/2018 14:48,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,SAINT MARYS PARK,BRONX,10455,40.81170706,-73.9122992,"(40.81170706343431, -73.91229919908024)"
38345509,January,1/30/2018 11:08,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,DEVOE PARK,BRONX,10468,40.8631302,-73.90654452,"(40.863130202365284, -73.90654451754935)"
38389392,February,2/5/2018 19:04,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,BRONX ZOO,BRONX,10460,40.85023185,-73.87632289,"(40.85023185062718, -73.87632289476633)"
