areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
All Downtown,Manhattan,submarket,0.1143867925,0.09265033408,0.115907099,0.08333333333,0.07992855548,0.07848710101,0.07873090482,0.07555115185,0.09212827988,0.1068934103,0.09336609337,0.08456926475,0.08571428571,0.0813559322,0.08333333333,0.07025369389,0.06708760852,0.08037653874,0.1028394178,0.1104206501,0.1252790179,0.1425280737,0.1654778887,0.1349182764,0.1425876011,0.1246274722,0.1208548268,0.1155200751,0.1257082896,0.1371994342,0.1300782706,0.1341583186,0.1534296029,0.1608646189,0.126022126,0.1381067961,0.1593050031,0.1392994533,0.153212212,0.1347219889,0.1217377209,0.1333117094,0.1447408306,0.1604580153,0.1703150912,0.1941929441,0.1641427328,0.1461708395,0.1537517532,0.1445966514,0.1623231571,0.1657697861,0.1838968621,0.137543142,0.1616416523,0.1618685497,0.1876366817,0.1986990863,0.1885704596,0.1458548332,0.1550362611,0.1487418132,0.1424698795,0.1230074764,0.1307771753,0.1475271411,0.1563747359,0.1885887402,0.1884885764,0.2280596116,0.2198891315,0.1909841707,0.1904377322,0.1783716594,0.1866744085,0.1688043029,0.1584262295,0.1914154571,0.2214603633,0.2192519639,0.2487135506,0.2779763541,0.2598504458,0.2101257959,0.2134415492,0.2023809524,0.1923837133,0.1730253924,0.1866209262,0.2108784805,0.1977530541,0.2472452643,0.2740069686,0.2933294066,0.2870525259,0.209439528,0.2258340462,0.1933911159,0.1724995853,0.1502521507,0.1467754884,0.1419920113,0.1173945044,0.1978651393,0.2238952537,0.2468946742
All Midtown,Manhattan,submarket,0.1045542014,0.08412358519,0.103374886,0.09298957126,0.08478329643,0.07941550191,0.08675799087,0.08574345015,0.09892638037,0.1063410792,0.1038047974,0.09159983115,0.08942749687,0.08152396559,0.08009241432,0.07587768969,0.06764808973,0.08143208143,0.09200150207,0.09233511586,0.1112368024,0.1386832879,0.1438140268,0.1287336979,0.1308555943,0.1168122271,0.128610729,0.1302535603,0.1111862116,0.1152236884,0.120390125,0.1282762874,0.1497127408,0.1626464507,0.1457023061,0.1330192099,0.142295082,0.1263327948,0.1393759287,0.1236768802,0.1149144254,0.1242876526,0.1199698189,0.1404494382,0.1414337116,0.1816504086,0.1565656566,0.1827468785,0.166842661,0.1517857143,0.1555127588,0.1377850929,0.1138119037,0.1371042831,0.1401889223,0.1429187325,0.1718679331,0.1698654313,0.1581350637,0.143096836,0.1520991053,0.138016158,0.1333618295,0.1092539747,0.1144942649,0.1228929831,0.1436303886,0.1581732654,0.1495327103,0.2132975428,0.1988253209,0.166703811,0.1665247019,0.1572819644,0.1576854245,0.1467242056,0.1424544259,0.1542130366,0.1770870337,0.1898712737,0.2056022409,0.2263481993,0.2164022175,0.1729244889,0.1932789064,0.1684044855,0.1758928571,0.1514401838,0.16444155,0.1773578914,0.1731935114,0.1989929131,0.2221995094,0.258374143,0.2737494263,0.2186046512,0.2106270943,0.1896084708,0.1836359458,0.1737891738,0.1422009187,0.1323293173,0.1160133937,0.1881463803,0.2093394077,0.2361904762
All Upper East Side,Manhattan,submarket,0.1320015668,0.1092278719,0.1210287443,0.0987654321,0.09912070344,0.09502431725,0.1090909091,0.08671875,0.1110162254,0.1150776984,0.1102909249,0.09476309227,0.08805291443,0.07396061269,0.08181818182,0.07965738758,0.0897766323,0.09678765123,0.1020666385,0.1051511281,0.128057554,0.1621212121,0.1421052632,0.1305094448,0.1669258683,0.1606323304,0.1438232642,0.1400881057,0.1257968551,0.1280535855,0.1457550714,0.1568103777,0.1725352113,0.1735898557,0.1447428311,0.1313375181,0.1391684902,0.1231481481,0.1409710392,0.1482875423,0.1272792277,0.1286987522,0.1431322208,0.137458092,0.173402418,0.182377713,0.1829529244,0.1672329181,0.1509639869,0.1393728223,0.1394182548,0.1295638126,0.1229166667,0.13883955,0.1545530493,0.1604651163,0.1732121923,0.1704337202,0.1608811749,0.144765343,0.1269571137,0.1216407355,0.1339652449,0.1105725538,0.1005442567,0.1213275299,0.1382636656,0.1458275575,0.1579261025,0.1895500726,0.182665424,0.1689948893,0.1653796654,0.1513893325,0.1536214953,0.1569343066,0.1433719434,0.1686483863,0.2073434125,0.2306210881,0.2621684265,0.2341163908,0.2083333333,0.1806431274,0.187628866,0.1548507463,0.1695804196,0.1522946507,0.1553060679,0.1932538676,0.1946971666,0.2180722892,0.2302295918,0.2663769016,0.2569541029,0.1987406533,0.2116497829,0.1833704529,0.1813435433,0.1432325887,0.1325518485,0.1382948389,0.1247165533,0.198137911,0.1931432451,0.2415169661
All Upper Manhattan,Manhattan,submarket,0.08392434988,0.09252669039,0.09348093481,0.07181571816,0.07072135785,0.1,0.07161803714,0.08131241084,0.09075907591,0.1201923077,0.09698996656,0.07692307692,0.09150326797,0.07928802589,0.09393939394,0.08151382824,0.1124031008,0.08609271523,0.07650273224,0.1034928849,0.1188118812,0.1507042254,0.1396011396,0.08575581395,0.0946969697,0.1088201604,0.1360691145,0.1183246073,0.1095238095,0.1123893805,0.1249011858,0.1083781706,0.1462765957,0.1697171381,0.1308165057,0.08717948718,0.1356589147,0.1062959935,0.1182458888,0.1097157964,0.100591716,0.1246410109,0.0914844649,0.1059850374,0.1134163209,0.1707470182,0.1528822055,0.1108949416,0.1229698376,0.121037464,0.1074291823,0.1112224449,0.1292758774,0.1357426179,0.1196940727,0.1201814059,0.166122449,0.1488025128,0.1657862657,0.1240372923,0.1323145732,0.1239479725,0.1184493898,0.105188344,0.09489315465,0.1168337366,0.1151326053,0.1242937853,0.1192627394,0.1421659844,0.1461708395,0.1120853984,0.1073876618,0.1165413534,0.1063207892,0.09786476868,0.1154098361,0.1283438533,0.1205267678,0.153567447,0.1562793611,0.1585165737,0.1458800898,0.1166666667,0.1400692477,0.1393919793,0.137962963,0.1306451613,0.1318116976,0.1395886889,0.1305789339,0.2014098691,0.1942687012,0.2170598911,0.2422571065,0.170074813,0.1781818182,0.1563620072,0.1471189211,0.1357552581,0.1320819113,0.1186713963,0.08872620791,0.1757557795,0.1953204476,0.2050183599
All Upper West Side,Manhattan,submarket,0.09653579677,0.1101462523,0.1035528596,0.07416462918,0.1069587629,0.07746478873,0.07117117117,0.08363636364,0.08593290171,0.1072498502,0.1040892193,0.08980115459,0.08514724712,0.09015873016,0.08074162679,0.07587064677,0.08295194508,0.07358201329,0.08037018997,0.1077441077,0.1269510926,0.1367437285,0.1693121693,0.1335853812,0.161233993,0.1779988944,0.1549815498,0.1565836299,0.1271106942,0.1361419069,0.1529884032,0.1435512367,0.1656441718,0.17750258,0.1679064825,0.1129660545,0.134057971,0.1171399594,0.1373937677,0.1444106133,0.1117549669,0.1348684211,0.1592781483,0.1593799682,0.1563118322,0.2333848532,0.2086481948,0.2217790187,0.2159227986,0.1801340166,0.1831352155,0.1613982893,0.1370232872,0.1656259292,0.1920157436,0.1793544458,0.2125127508,0.2068351727,0.1996879875,0.182224026,0.1837495341,0.1416893733,0.1583679115,0.1528539181,0.1611128095,0.1708699348,0.1830260304,0.1893161139,0.2105788423,0.2424662279,0.2414441519,0.2231873112,0.1987532087,0.1989720999,0.1845940319,0.1689513365,0.1931077305,0.2058988764,0.216755693,0.2510952903,0.2592592593,0.2684690349,0.2804796802,0.1852919971,0.2352127292,0.2292335116,0.2108688578,0.2158576052,0.2067786955,0.249799626,0.2322598253,0.2829592159,0.3132780083,0.3097654883,0.3024316109,0.2570937231,0.2671125098,0.2437113402,0.2394200627,0.1907179115,0.1949238579,0.1835340059,0.1488755147,0.2350534928,0.2674418605,0.2924886191
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,0.03921568627,0.02,0.009090909091,0.0,0.05084745763,0.03773584906,0.01960784314,0.0,0.01923076923,0.0,0.1111111111,0.04166666667,0.02325581395,0.0,0.025,0.01960784314,0.01052631579,0.009259259259,0.02702702703,0.046875,0.04761904762,0.08955223881,0.03448275862,0.09523809524,0.0987654321,0.05405405405,0.07954545455,0.07894736842,0.05921052632,0.08074534161,0.1118421053,0.102189781,0.08270676692,0.09090909091,0.09589041096,0.09032258065,0.1173469388,0.1435643564,0.0686695279,0.05813953488,0.06622516556,0.05309734513,0.05774278215,0.09477124183,0.07371794872,0.1034482759,0.1171171171,0.07024793388,0.05794392523,0.07082630691,0.08345120226,0.05620608899,0.05828220859,0.06944444444,0.06675062972,0.06650544135,0.09541511772,0.09673659674,0.1000926784,0.07440212578,0.07922912206,0.07513914657,0.0943877551,0.07410636443,0.06402877698,0.0657807309,0.05166374781,0.08187134503,0.0986328125,0.125984252,0.1433597186,0.1076769691,0.1188016529,0.1284916201,0.1512319456,0.1326530612,0.1135840368,0.1312828207,0.1214007782,0.1461361897,0.1352727273,0.1908657123,0.2088297127,0.1325811001,0.166574738,0.1381023348,0.130910683,0.1523508137,0.150533049,0.1532818533,0.1533520674,0.1750503018,0.2208588957,0.2363095238,0.2181122449,0.1842680262,0.1978163134,0.1949103528,0.1859375,0.175229854,0.1945101751,0.1558203483,0.09357326478,0.1603139013,0.1893054702,0.2101944298
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.2142857143,,0.0,0.1304347826,0.125,0.1666666667,0.2142857143,,,,0.3076923077,0.2083333333,0.1176470588,0.07142857143,0.1052631579,0.1666666667,0.125,0.2,0.08333333333,,0.2727272727,0.07142857143,0.2941176471,0.0,0.1875,0.1111111111,0.1153846154,0.1052631579,0.15,0.1304347826,0.09090909091,0.2352941176,0.0,0.2,0.05263157895,0.06666666667,0.2352941176,0.0,0.1304347826,0.2352941176,0.25,0.15
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09090909091,0.0,,,,,,,,,,0.04545454545,0.25,0.1363636364,0.0,0.09523809524,0.08,0.1333333333,0.2222222222,,0.07692307692,0.1904761905,0.2083333333,0.04545454545,0.05,0.2,0.05555555556,0.04,0.09523809524,0.12,0.1612903226,0.09677419355,0.1212121212,0.1428571429,0.2340425532,0.1951219512,0.07692307692,0.1111111111,0.09090909091,0.1052631579,0.2142857143,0.2258064516,0.25,0.1764705882,0.09090909091,0.09677419355,0.1891891892,0.1025641026,0.16,0.1142857143,0.05769230769,0.05882352941,0.09589041096,0.08955223881
Battery Park City,Manhattan,neighborhood,0.1126760563,0.05797101449,0.06310679612,0.06349206349,0.02173913043,0.055,0.08602150538,0.07075471698,0.05102040816,0.0320855615,0.08235294118,0.08333333333,0.0618556701,0.06511627907,0.08438818565,0.0619047619,0.06593406593,0.08878504673,0.06074766355,0.1719457014,0.1885964912,0.1673306773,0.2239382239,0.1651785714,0.2455357143,0.1227272727,0.1235059761,0.1433962264,0.1678571429,0.1213114754,0.1086261981,0.1241610738,0.1529850746,0.1194029851,0.09677419355,0.1440677966,0.1543859649,0.1215277778,0.1466666667,0.1461038961,0.1219512195,0.1314984709,0.10625,0.131147541,0.1355421687,0.1281337047,0.1163636364,0.13125,0.1575562701,0.1216216216,0.07590759076,0.03498542274,0.06823529412,0.07232704403,0.115727003,0.125748503,0.1340206186,0.1766666667,0.1462585034,0.1236363636,0.1494661922,0.172,0.1866197183,0.1789473684,0.1385135135,0.222972973,0.1689655172,0.216828479,0.1929824561,0.2429906542,0.1947565543,0.1984435798,0.3033707865,0.2597864769,0.1756272401,0.1654135338,0.122605364,0.1678082192,0.2491467577,0.145631068,0.1538461538,0.2692307692,0.2355072464,0.1428571429,0.1621621622,0.24,0.1778656126,0.1634241245,0.203187251,0.1984126984,0.219123506,0.2401746725,0.2175925926,0.2669683258,0.3073170732,0.2325581395,0.2801932367,0.2295918367,0.1990521327,0.1601941748,0.1339712919,0.07305936073,0.1361702128,0.2406639004,0.2568807339,0.2159624413
