Month,Brooklyn,Manhattan,NYC,Queens
2005-01-01,644057,843914,585896,527632
2005-02-01,707140,834933,588398,519786
2005-03-01,722541,849942,596799,515512
2005-04-01,701790,849779,600614,504921
2005-05-01,691705,867644,609402,520842
2005-06-01,715314,888350,621470,525275
2005-07-01,724911,906203,630238,535931
2005-08-01,732301,921872,638268,546624
2005-09-01,737890,936915,646429,553985
2005-10-01,736507,947357,651339,561946
2005-11-01,741191,956919,658081,570415
2005-12-01,746142,956332,658812,572030
2006-01-01,739063,957038,660179,580002
2006-02-01,745623,956667,661541,585449
2006-03-01,743797,956746,661219,584657
2006-04-01,747982,960551,662801,583925
2006-05-01,763455,961187,666087,585252
2006-06-01,765689,966558,668977,589459
2006-07-01,779866,973663,676151,596037
2006-08-01,785695,976675,681114,593888
2006-09-01,799306,982452,686390,598743
2006-10-01,796754,983983,687636,600293
2006-11-01,796780,984346,689672,603090
2006-12-01,801529,981388,690244,605336
2007-01-01,801924,977454,687262,604204
2007-02-01,796421,970412,680752,600737
2007-03-01,788895,960142,673666,599005
2007-04-01,785891,976471,675121,596407
2007-05-01,778768,987529,673987,588682
2007-06-01,782903,1003602,676277,588953
2007-07-01,780640,1010254,676644,587866
2007-08-01,778565,1019682,677002,585913
2007-09-01,775507,1024206,676816,581922
2007-10-01,767318,1030466,676925,583309
2007-11-01,771615,1040465,678626,575046
2007-12-01,772553,1040047,677334,569793
2008-01-01,766194,1037964,672244,563706
2008-02-01,755326,1042068,669331,561018
2008-03-01,751459,1042775,665821,554748
2008-04-01,741473,1036384,659179,550571
2008-05-01,738202,1043210,659311,549823
2008-06-01,736461,1046259,657807,550876
2008-07-01,734443,1047775,656301,546620
2008-08-01,732219,1046291,652860,537939
2008-09-01,725659,1042963,650143,534592
2008-10-01,723518,1039585,648517,533239
2008-11-01,709414,1032999,641587,529665
2008-12-01,699817,1019310,632461,523609
2009-01-01,685249,1006370,622167,514464
2009-02-01,666979,989797,610635,504668
2009-03-01,660934,978979,603861,498020
2009-04-01,654839,952975,593673,494324
2009-05-01,656607,943132,590004,493215
2009-06-01,645199,929156,582219,487577
2009-07-01,647769,917755,577080,480847
2009-08-01,642192,909096,572662,476817
2009-09-01,637096,909443,569776,474021
2009-10-01,632064,905629,566809,471131
2009-11-01,622672,898016,563785,468513
2009-12-01,613037,894616,561484,469280
2010-01-01,611629,895164,559859,467012
2010-02-01,613568,894810,557192,461663
2010-03-01,604790,891564,554057,461187
2010-04-01,605444,892766,553445,459936
2010-05-01,604752,894874,553678,461020
2010-06-01,607505,898111,554752,461154
2010-07-01,602234,899544,550083,456402
